,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1628,1,0,0,0,18,1,0,0,0,0,2,2,0,0,0,0,1,55.2,111
2974,1,0,0,0,4,1,2,1,0,2,0,0,0,2,0,1,2,90.05,3171
3548,1,0,1,0,65,1,2,1,2,2,2,0,0,0,1,0,2,89.75,4761
309,1,0,1,0,52,1,2,0,2,2,2,2,0,2,1,1,1,81.4,3701
2076,1,0,1,1,60,1,0,1,0,2,2,0,2,0,1,0,2,90.95,4531
311,0,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,2,105.2,5470
3522,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,3,35.05,3029
3021,1,0,1,1,6,1,0,1,0,2,0,0,0,2,0,1,1,83.55,4037
181,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,2,49.85,4146
153,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,3,74.3,5717
389,1,0,1,0,31,1,0,1,0,0,2,0,2,2,1,1,2,93.8,2540
3414,0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,88.25,851
589,1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,103.75,5692
114,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.0,3810
3045,0,1,1,0,42,1,0,1,2,0,0,0,0,0,0,1,1,74.15,2805
970,0,0,1,0,72,1,2,1,2,2,2,0,2,0,2,0,0,100.65,5687
1851,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,4071
3632,0,0,1,0,7,1,2,1,0,0,0,0,2,0,0,1,2,86.5,4798
237,1,0,1,0,17,1,2,1,0,2,2,0,2,2,0,1,2,102.55,1259
752,0,0,1,0,12,1,2,0,2,0,2,0,2,2,1,0,2,78.85,6278
1765,0,0,0,0,38,1,2,1,0,0,2,2,2,2,0,1,2,103.65,3404
2226,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,1,2,94.75,6294
1493,0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,2,74.15,629
1117,0,0,1,1,41,1,2,0,2,2,2,0,2,0,1,1,1,78.35,2796
225,0,1,1,0,30,1,2,1,0,2,0,0,2,0,0,1,2,90.05,2275
323,1,0,0,0,24,1,0,1,0,2,2,0,0,2,0,1,2,89.55,1802
564,1,0,0,0,19,1,0,1,0,0,0,0,2,0,0,1,0,78.7,892
3439,1,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,2,84.85,6179
769,0,0,1,1,71,1,2,1,2,0,2,2,0,2,2,0,2,100.45,5605
1970,0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2181
358,0,1,0,0,4,1,0,1,0,2,0,0,0,0,0,0,2,72.75,2754
531,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,2977
1320,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,6290
2924,1,0,0,1,28,1,0,1,2,0,0,0,0,0,0,1,0,74.9,1692
2328,1,0,0,0,14,1,2,1,0,0,0,2,2,0,0,1,2,89.95,332
1562,1,1,0,0,60,1,2,0,2,2,0,0,0,2,1,1,2,71.75,3713
1734,0,0,1,0,72,1,2,1,2,2,0,0,0,2,2,1,1,94.45,5465
3555,1,0,1,1,13,1,0,1,2,0,0,0,0,2,0,0,2,84.05,189
1722,1,0,0,0,12,1,0,0,0,2,0,0,0,0,0,1,0,49.05,4861
1332,1,0,1,0,9,1,2,0,0,2,2,0,0,2,0,1,1,69.05,5226
2471,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,71.55,5570
1752,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3358
2190,1,0,1,1,34,1,0,1,0,0,0,0,2,0,0,0,2,78.3,2219
623,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,2,24.95,1496
2973,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,0,50.8,2488
2143,0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,1,2,80.0,3513
3585,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,84.6,223
477,1,0,1,1,32,1,0,1,2,2,0,0,0,2,1,1,2,90.8,2628
216,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,49.0,4136
1892,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175
3648,0,0,0,0,12,1,0,1,0,0,2,0,2,2,0,1,2,96.0,123
3581,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.65,5449
2869,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,1,2,49.1,5371
365,1,0,0,0,32,1,0,1,0,0,0,0,2,2,0,0,2,91.05,2479
1654,0,1,0,0,45,1,2,0,2,0,0,2,0,2,0,1,2,70.05,2661
553,0,0,1,0,52,1,2,1,0,2,2,0,2,0,0,0,0,94.6,4255
62,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.85,1491
1593,1,0,0,0,13,1,0,1,0,0,0,0,0,0,0,1,2,70.15,6402
2910,0,0,0,0,9,0,1,0,2,0,2,2,2,2,0,0,3,58.5,4483
2240,0,0,0,1,18,0,1,0,0,0,0,0,0,2,0,1,2,35.0,4591
2465,0,1,0,0,3,1,0,1,0,0,2,0,2,0,0,1,2,86.85,1830
444,1,0,1,0,45,1,2,1,0,2,2,0,2,2,0,1,0,107.75,4124
1229,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.1,749
1257,1,0,1,0,72,1,2,1,2,2,0,2,0,2,2,1,0,100.55,5682
3508,1,0,1,1,21,1,2,0,2,2,0,2,2,0,1,0,3,77.5,1096
3703,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,5444
2173,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,2,19.85,1491
1958,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,1169
3309,1,0,1,1,33,1,0,0,0,0,2,2,2,2,1,1,3,73.9,2051
1674,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,2086
1763,0,0,0,0,45,1,0,0,2,2,0,2,0,0,1,1,1,62.55,2423
2011,1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,4650
751,1,0,1,0,52,1,2,1,0,2,0,2,0,2,0,1,1,95.65,4297
610,0,0,1,1,23,1,0,1,0,0,2,0,0,0,0,1,1,75.3,1202
3061,0,0,0,0,3,1,0,1,0,0,0,2,0,2,0,0,2,85.8,2361
3634,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.15,5441
933,0,1,1,1,14,1,2,1,0,0,0,0,2,2,0,1,2,95.8,632
1040,1,0,1,1,31,1,2,0,2,2,0,2,0,2,1,1,0,75.25,1979
2566,1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,0,101.35,1952
3552,0,0,0,0,45,1,2,1,0,2,0,0,2,0,0,1,1,89.3,3434
3709,1,0,1,1,70,1,2,1,0,2,0,0,2,2,2,0,0,98.3,5416
2549,1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,1,0,44.6,2250
2550,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,1486
2912,0,1,0,0,6,1,0,1,0,0,2,0,0,0,0,0,2,74.4,3689
2077,0,0,1,0,50,1,2,1,2,2,0,2,2,2,1,0,2,108.55,4647
979,0,0,0,0,27,1,0,0,0,2,2,2,2,2,1,0,3,78.2,1704
2377,1,0,1,0,65,1,2,1,0,2,0,0,2,0,0,1,0,91.85,4872
475,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2229
1903,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664
3289,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044
3363,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.25,1480
3441,0,0,0,0,42,1,0,0,2,2,2,2,0,2,1,0,1,73.9,2743
2805,1,1,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.45,6365
2930,1,0,0,0,4,1,0,1,0,0,2,0,0,0,0,1,0,74.8,2794
2827,0,0,1,0,54,1,2,0,0,0,0,0,2,2,1,1,1,70.15,3203
762,0,0,1,1,58,1,0,1,0,2,2,0,2,0,0,1,2,91.55,4579
3678,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,2,100.75,247
2339,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,76.35,5822
2373,0,0,1,1,31,1,0,2,1,1,1,1,1,1,0,1,3,19.55,5251
3681,0,0,0,0,54,1,2,1,0,2,2,2,2,2,0,0,2,111.1,4924
395,1,0,0,0,21,1,2,1,0,0,0,0,0,2,0,1,2,84.1,1246
920,1,0,1,0,68,1,2,1,2,2,0,2,2,2,0,1,2,107.7,5678
3123,0,0,1,0,53,1,0,2,1,1,1,1,1,1,1,0,0,20.8,43
916,1,0,1,1,72,1,2,1,0,0,0,0,0,2,2,1,1,84.5,5005
1799,1,0,0,0,29,1,0,0,0,0,2,2,2,2,1,1,0,75.35,1878
2254,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2,70.4,2437
2159,0,0,0,0,4,1,0,1,2,0,2,2,0,2,0,1,0,94.4,3307
608,1,0,1,1,72,1,2,1,2,2,2,2,0,2,2,1,1,104.9,5886
944,0,0,1,0,62,1,0,1,2,0,2,2,2,2,1,1,2,104.3,5275
1634,0,1,0,0,44,1,2,1,2,2,2,0,2,2,1,1,1,109.8,4103
693,0,0,1,1,3,1,0,1,0,2,0,2,0,0,0,1,2,80.0,2055
2811,1,1,1,1,51,1,2,1,0,2,2,0,0,0,0,1,2,84.2,3542
3319,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,3,46.0,1844
1683,0,0,0,1,10,1,2,0,2,0,2,2,0,2,1,0,1,73.55,5468
2160,0,0,1,0,37,1,2,1,0,0,2,0,0,0,0,1,1,78.95,2453
733,1,0,1,1,33,1,0,0,0,2,2,2,2,2,2,0,1,82.1,2253
1174,0,1,1,0,60,1,2,1,0,2,0,0,0,2,0,0,2,89.45,4427
3660,0,0,0,0,11,1,0,0,2,0,0,0,0,0,0,0,1,48.55,4240
32,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,1492
3032,1,0,1,0,10,1,2,1,0,0,2,0,2,2,0,1,2,98.5,77
634,1,0,0,0,15,1,0,1,0,0,2,0,2,0,0,0,2,85.3,403
2887,0,0,0,0,30,1,2,1,0,2,0,0,2,2,0,1,2,100.2,2580
996,1,0,0,0,3,1,0,0,0,0,0,2,0,2,0,0,3,60.65,1567
3711,0,1,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,82.0,242
2609,1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,69.7,4638
128,1,0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,1,74.6,5722
2853,1,1,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,93.85,1566
857,1,1,1,0,62,1,2,1,2,2,2,0,0,0,0,1,2,89.1,4653
3151,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,5723
1299,1,0,0,0,17,1,2,0,2,0,0,0,0,2,0,0,0,65.75,215
2984,0,1,1,0,43,1,2,1,2,0,2,2,2,2,1,1,3,109.55,4081
3277,0,0,0,0,10,1,2,1,0,0,0,0,0,0,0,1,2,74.75,6009
59,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.8,3824
2583,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,3741
1975,0,0,1,1,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1406
456,1,0,1,1,14,1,2,0,2,2,0,0,0,2,0,0,3,69.2,6431
1196,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,1,2,29.75,6469
1030,0,0,1,1,59,1,2,1,0,2,0,2,0,2,0,1,0,96.65,4621
3517,0,0,0,0,5,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4324
1992,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,5718
3494,1,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.85,5159
3109,1,1,1,0,24,0,1,0,2,0,0,0,0,2,0,0,0,39.1,6488
120,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,20.0,1606
2081,0,0,1,1,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1932
340,1,0,1,1,72,1,2,1,0,2,0,0,2,0,1,1,2,89.7,5256
197,0,0,0,0,1,1,2,2,1,1,1,1,1,1,0,1,2,25.7,2156
1461,0,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,3,44.9,6169
1473,1,0,1,0,61,1,2,1,2,2,0,0,2,2,0,1,2,106.2,5139
1144,0,0,0,1,22,1,2,1,0,0,0,0,0,2,0,1,2,84.75,1371
468,0,1,1,1,62,1,2,1,0,2,2,0,0,2,0,1,1,96.1,4928
3682,0,0,1,1,25,1,2,1,0,0,2,0,0,2,0,1,2,89.1,2002
3403,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,5564
2244,1,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,1,84.4,5677
803,1,0,0,0,25,1,0,0,2,2,0,2,2,2,0,1,3,79.0,1503
2420,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,71.35,5569
3055,1,0,1,0,23,1,2,1,2,2,2,0,2,0,0,1,2,99.25,1801
1134,0,0,1,0,19,1,2,1,0,0,0,0,2,0,0,1,2,86.85,1013
1470,1,0,1,0,70,1,2,0,0,2,2,2,2,0,2,0,0,72.95,4408
396,1,1,0,0,48,1,2,1,0,2,0,0,2,2,1,1,2,99.0,4012
3712,0,0,1,0,24,1,2,1,0,0,0,0,0,0,0,1,1,75.4,1268
1169,1,1,0,0,51,1,2,1,0,2,0,0,0,0,1,1,0,79.6,3398
3215,0,0,1,0,11,1,2,1,0,0,0,0,2,2,0,1,2,94.0,152
244,1,0,0,0,2,1,0,1,0,2,0,0,0,0,0,1,2,74.75,812
1498,0,0,1,1,36,1,2,1,2,0,2,0,2,2,0,1,1,104.5,3174
239,0,0,1,0,60,1,0,1,2,0,0,2,2,2,2,1,2,97.2,4649
