,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3837,0,0,0,0,4,1,0,1,0,2,2,2,2,2,1,1,2,105.65,3765
5222,0,0,0,0,8,1,2,0,2,2,2,0,0,0,0,1,0,65.5,4729
7421,0,0,0,0,27,1,2,1,0,0,0,0,2,2,0,1,3,94.55,2369
4654,0,0,1,1,42,1,0,2,1,1,1,1,1,1,1,1,2,19.05,5829
2074,0,1,0,0,43,1,0,1,2,2,0,2,2,2,0,1,1,108.15,3911
3694,0,0,1,1,67,1,2,1,2,0,2,2,2,2,2,1,1,108.75,5603
7123,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,5448
4614,1,0,1,1,7,1,0,2,1,1,1,1,1,1,0,0,3,20.25,810
7398,0,1,0,0,28,1,2,1,0,0,2,2,2,2,0,1,2,103.3,2495
4316,1,0,0,0,69,1,2,0,2,2,2,2,2,2,2,0,3,90.65,5110
136,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1304
6955,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,2,45.05,4381
9154,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,0,50.8,2488
6616,1,0,0,0,43,1,2,1,0,2,0,0,2,2,0,1,2,101.4,3855
5020,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,1,3,19.85,6063
2253,1,1,1,0,72,1,0,0,2,2,2,2,2,0,2,0,0,74.4,4472
3643,0,0,1,0,53,1,0,2,1,1,1,1,1,1,1,0,1,19.05,6514
116,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,240
3473,1,0,1,0,42,1,2,1,0,0,2,2,2,2,0,1,0,106.15,3839
2701,0,0,1,1,61,1,0,2,1,1,1,1,1,1,1,0,1,19.1,273
53,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113
6373,1,0,1,1,44,1,0,1,0,0,2,0,2,2,0,1,0,92.95,3517
10094,1,0,0,0,14,1,2,1,0,2,0,0,2,2,0,1,2,100.55,764
6211,0,0,1,1,5,1,0,1,0,0,0,2,2,0,0,1,2,85.75,3984
3592,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821
9157,1,0,1,0,55,0,1,0,0,0,2,2,2,2,0,1,0,54.55,2572
5883,0,0,0,0,13,1,0,2,1,1,1,1,1,1,0,1,3,20.3,2388
5882,0,0,1,1,14,1,0,2,1,1,1,1,1,1,2,1,3,19.7,2279
5218,1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,1,3,19.7,0
7660,0,0,0,0,5,1,0,1,0,2,0,0,2,2,0,1,2,96.25,4310
4896,1,0,0,0,24,1,0,0,0,0,2,0,0,0,0,1,3,49.7,313
606,1,0,1,1,38,1,0,0,2,0,2,2,2,2,2,0,1,81.0,2676
1464,1,0,0,0,9,1,0,0,2,0,0,2,0,2,0,0,3,64.95,4543
7117,1,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.25,811
3855,1,0,1,1,53,1,0,0,0,2,0,2,2,0,0,0,1,65.0,2918
6382,1,0,1,1,38,1,0,0,2,2,2,2,2,0,1,0,2,74.05,2431
3421,0,0,1,0,72,1,2,1,2,2,2,2,0,0,2,1,0,97.0,5574
4835,1,0,1,0,65,1,2,1,2,0,2,0,2,2,0,1,2,104.25,5386
9410,0,0,1,1,10,1,2,1,0,2,2,0,2,2,0,1,1,102.1,132
1142,1,1,1,1,11,1,2,1,0,0,0,0,0,0,0,1,1,75.2,5890
7784,1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,5590
7579,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,2,30.4,5911
1417,0,1,0,0,18,1,0,0,0,2,0,0,0,0,0,1,1,49.85,6254
1741,1,0,0,0,16,1,2,0,0,2,2,0,0,2,0,1,0,71.4,387
620,1,1,1,1,10,0,1,0,0,0,0,0,0,2,0,1,0,34.55,3129
350,1,0,1,1,37,1,2,0,2,0,2,2,0,0,2,1,1,62.8,1916
8590,1,0,1,1,47,1,2,1,0,0,2,2,2,2,0,1,0,107.35,4308
5857,0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,88.25,851
9201,0,0,0,0,67,1,2,1,2,2,2,0,2,0,0,1,1,102.95,5431
5638,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.95,1493
1522,0,0,0,0,29,1,0,0,2,2,2,0,0,2,0,1,0,68.85,1574
